IMO Number;Type of Vessel;Gross Tonnage;Year of Built;Flag;Port of Registry;INTLREG Class ID;Owner;Representatives;Call Sign;Classification;Areas in which ship is certified;Ship Builders;Place of Built;Hull Material;Net Tonnage;Deadweight;Length (m);Depth (m);Draft (m);Passengers No.;Engine Type/ No of Engines;Number of Shaft
9246281;Crude Oil Tanker;154338;OCT 2002;Panama;Panama;22IOA011;Rose Shipping Ltd;22IOA011;3E2634;NK;A1+A2+A3;;;;99476;300838.000;333.000;29.500;21.430;0;  /  0;0
9251951;Crude Oil Tanker;154283;NOV 2002;Djibouti;Djibouti;22IOA009;Rose Shipping Ltd;22IOA009;J2GJ;NK;A1+A2+A3;;;;99436;301045.000;333.000;29.500;21.400;0;2 stroke  /  1;1
9302023;Oil Tanker;160007;FEB 2005;Panama;Panama;21IOH008;Bottega Investment Ltd;21IOH008;3FSO7;NK;A1+A2+A3+A4;Universal Shipbuilding Corp;Japan;Steel;97430;299998.000;323.850;29.400;20.810;0;  /  0;0
7602699;General Cargo Ship;2577;AUG 1977;Tanzania – Zanzibar;Zanzibar;23IDG007;CR 7 SHIPPING SA;23IDG007;5IM 431;IS;A1+A2;STOCZNIA GDANSKA IM LENINA.;GDANSK, POLAND;Steel;1531;4262.000;96.720;7.450;5.860;0;4 stroke  /  1;1
NA;Deck Loading Barge, Non-Propelled;252;JAN 1999;Palau;Malakal Harbor;09NND026;Maritime Services Enterprises Ltd;09NND026;T8A3509;IS;A1;ENCOCORP SARL;LEBANON;Steel;75;;27.140;3.010;2.470;0;  /  1;0
NA;Oil Tanker;4880;JAN 2022;Uganda;Port Bell;21IOH024;Mahathi Infra Services Private Limited;21IOH024;5XM-504;IRS;A1;MAHATHI INFRA UGANDA LIMITED;BUGIRI-BUKASA, WAKISO DISTRICT;Steel;1464;3687.630;118.400;5.500;2.500;0;4 stroke  /  2;2
9104445;Oil Tanker;1997;JAN 1995;Palau;Malakal Harbor;22IOE001;ARMINA SHIPPING DMCC;22IOE001;T8A3786;KR;A1+A2;SASAKI SHIPYARD CO. LTD.;HIROSHIMA, JAPAN;Steel;0;2952.000;89.830;6.400;5.460;0;4 stroke  /  1;1
NA;Barge/Pontoon;3105;OCT 2010;Panama;Panama;13NNO028;Tug And Barge Solutions INC;13NNO028;N/A;IS;;NANJING WUJIANG SHIPBUILDING ;CHINA;Steel;931;;87.860;5.500;4.290;0;  /  0;0
NA;Propelled Barge;629;JAN 2011;Kenya;Mombasa;11CIU071;ALFOSS ENERGY LTD;11CIU071;--;IS;A1+A2;SOUTHERN ENGG CO. LTD;KENYA;Steel;324;1028.000;51.000;4.200;2.910;3;Other  /  1;0
7917757;Supply Boat/Vessel;499;JAN 1979;St Kitts & Nevis;Basseterre;03OYI003;Blues & Blues Ltd;03OYI003;V4TL;None Or Unclassed;A1;HALTER MARINE, LOUISIANA;LOUISIANA ; USA;Steel;150;;;4.270;3.660;0;2 stroke  /  2;0
7703833;Railway Wagon Carrier;1394;JAN 1986;Uganda;Port Bell;13NTR001;UGANDA RAILWAYS CORPORATION;13NTR001;5XM-505;IS;A1;BELGIAN SHIP BUILDING CORPORATION;PORT BELL, UGANDA;Steel;418;1420.000;92.140;4.300;2.900;0;4 stroke  /  2;2
9072989;General Cargo Ship;292.46;MAR 1993;Palau;Malakal Harbor;21ODG003;PURAVALAN FREIGHT FORWARDERS (pvt) LTD;21ODG003;T8A3704;None Or Unclassed;A1+A2+A3;Watanabe Zosensho, K.K.;Nagasaki, Japan;Steel;87.74;700.000;54.500;5.450;3.210;0;4 stroke  /  1;1
9545912;General Cargo Ship;5715;OCT 2008;Palau;Malakal Harbor;23UDG008;NORDEA SHIPPING CO. - PIRAEUS;23UDG008;T8A4265;ICS;A1+A2+A3;HAI DONG SHPYARD;CHINA;Steel;2986;8642.000;123.700;8.800;6.500;0;  /  0;1
